mshortName,murl,cbestBuyYesCost,cbestSellYesCost,cbestBuyNoCost,cbestSellNoCost,contracts_ct,revenue,pi_cut,pi_cut_min,pi_cut_less_min,profit_net,dttm
NC-01 Republican nominee?,https://www.predictit.org/markets/detail/7888/Who-will-win-the-Republican-nomination-for-the-NC-01-House-election,1.48,1.13,2.87,2.52,4,3,0.1129999999999999,0.001,0.1119999999999999,0.0179999999999999,2022-05-15 17:59:47.530518
PA Senate GOP primary margin?,https://www.predictit.org/markets/detail/7901/What-will-be-the-margin-in-the-Pennsylvania-GOP-Senate-primary,1.25,1.11,10.89,10.75,12,11,0.111,0.002,0.109,0.0009999999999994,2022-05-15 06:55:52.452698
OR-06 Democratic nominee?,https://www.predictit.org/markets/detail/7869/Who-will-win-the-Democratic-nomination-in-the-OR-06-election,1.13,1.0699999999999998,0.93,0.87,2,1,0.107,0.047,0.06,0.0099999999999999,2022-05-15 06:49:48.777054
Next G20 leader out?,https://www.predictit.org/markets/detail/7518/Which-of-these-ten-G20-leaders-will-leave-office-next,1.43,1.25,7.75,7.57,9,8,0.125,0.001,0.124,0.126,2022-05-13 21:47:48.969420
Turnout in PA GOP Sen. primary?,https://www.predictit.org/markets/detail/7907/How-many-votes-in-the-2022-Pennsylvania-Republican-Senate-primary,3.78,1.12,8.879999999999999,6.22,10,9,0.112,0.002,0.11,0.0100000000000009,2022-05-13 19:22:06.652190
Biden's RCP approval on May 20?,https://www.predictit.org/markets/detail/7910/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-May-20,1.57,1.18,7.82,7.43,9,8,0.118,0.002,0.116,0.0639999999999997,2022-05-13 17:49:39.761806
Congressional ballot lead for May 18?,https://www.predictit.org/markets/detail/7906/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-May-18,1.53,1.15,7.85,7.47,9,8,0.115,0.002,0.113,0.0370000000000003,2022-05-13 12:20:06.100119
Trump candidates winning May Primaries?,https://www.predictit.org/markets/detail/7882/How-many-of-these-20-Trump-candidates-win-May-primaries,1.3,1.12,5.88,5.7,7,6,0.112,0.001,0.111,0.0090000000000001,2022-05-12 20:24:51.797509
Biden's 538 approval for May 18?,https://www.predictit.org/markets/detail/7905/What-will-Joe-Biden's-538-job-approval-rating-be-for-May-18,1.43,1.15,7.85,7.57,9,8,0.1149999999999999,0.004,0.1109999999999999,0.0390000000000003,2022-05-12 15:48:13.893655
Biden's RCP approval on May 13?,https://www.predictit.org/markets/detail/7894/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-May-13,1.52,1.25,3.75,3.48,5,4,0.125,0.001,0.124,0.126,2022-05-11 15:00:57.098165
NE gov GOP primary margin?,https://www.predictit.org/markets/detail/7896/What-will-be-the-margin-in-the-Nebraska-GOP-gubernatorial-primary,1.33,1.11,8.89,8.67,10,9,0.111,0.005,0.106,0.0039999999999994,2022-05-10 22:53:47.133360
Second place in PA GOP Senate primary?,https://www.predictit.org/markets/detail/7895/Who-will-be-second-in-the-2022-Pennsylvania-Republican-Senate-primary,1.12,1.08,1.92,1.88,3,2,0.108,0.028,0.08,5.551115123125783e-17,2022-05-10 22:14:20.839191
Allegheny winner in PA GOP Sen. primary?,https://www.predictit.org/markets/detail/7900/Who-will-win-Allegheny-County-in-the-2022-Pennsylvania-GOP-Senate-primary,2.19,1.17,1.83,0.81,3,2,0.117,0.005,0.112,0.0579999999999999,2022-05-10 21:51:09.260089
WV-02 GOP primary margin of victory?,https://www.predictit.org/markets/detail/7893/What-will-be-the-margin-in-the-WV-02-Republican-primary,1.28,1.13,8.87,8.72,10,9,0.113,0.001,0.112,0.0180000000000007,2022-05-10 14:18:50.714770
Cloture Yeas on pro-choice bill?,https://www.predictit.org/markets/detail/7892/How-many-votes-in-the-Senate-for-cloture-on-abortion-rights-by-May-27,1.45,1.16,4.84,4.55,6,5,0.116,0.002,0.114,0.0460000000000001,2022-05-10 07:27:58.474848
GOP nominee in MN-01 special election?,https://www.predictit.org/markets/detail/7799/Who-will-win-the-Republican-nomination-in-the-MN-1-House-special-election,1.37,1.27,2.73,2.63,4,3,0.127,0.004,0.123,0.147,2022-05-08 16:24:24.277826
IL-15 Republican nominee?,https://www.predictit.org/markets/detail/7880/Who-will-win-the-Republican-nomination-for-the-IL-15-House-election,1.44,1.22,0.78,0.56,2,1,0.122,0.051,0.071,0.1489999999999999,2022-05-08 07:54:00.773756
OK GOP special Senate nominee?,https://www.predictit.org/markets/detail/7771/Who-will-be-the-2022-Oklahoma-special-election-Republican-Senate-nominee,1.31,1.13,4.87,4.69,6,5,0.113,0.001,0.112,0.0179999999999998,2022-05-07 13:26:05.894935
Votes for Childs to DC Cir.?,https://www.predictit.org/markets/detail/7838/How-many-votes-to-confirm-Michelle-Childs-to-the-DC-Circuit,2.19,1.11,8.89,7.81,10,9,0.111,0.004,0.107,0.0029999999999994,2022-05-07 07:14:53.697375
PA-12 Democratic nominee?,https://www.predictit.org/markets/detail/7794/Who-will-win-the-Democratic-nomination-in-the-PA-12-House-election,1.14,1.09,0.91,0.86,2,1,0.109,0.0209999999999999,0.088,0.0019999999999999,2022-05-07 00:44:39.059067
Congressional ballot lead for May 11?,https://www.predictit.org/markets/detail/7891/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-May-11,1.71,1.18,7.82,7.29,9,8,0.118,0.004,0.114,0.0659999999999997,2022-05-06 21:19:07.308895
Biden's RCP approval on May 6?,https://www.predictit.org/markets/detail/7879/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-May-6,1.52,1.12,0.88,0.48,2,1,0.112,0.028,0.084,0.0359999999999999,2022-05-06 12:46:21.101306
Biden's 538 approval for May 11?,https://www.predictit.org/markets/detail/7890/What-will-Joe-Biden's-538-job-approval-rating-be-for-May-11,1.29,1.16,7.84,7.71,9,8,0.116,0.002,0.114,0.0460000000000001,2022-05-05 22:45:05.187239
Nebraska GOP gubernatorial nominee?,https://www.predictit.org/markets/detail/7790/Who-will-win-the-2022-Nebraska-Republican-gubernatorial-nomination,1.28,1.13,1.87,1.7200000000000002,3,2,0.1129999999999999,0.0209999999999999,0.092,0.0379999999999998,2022-05-04 20:28:52.209574
Manny Pacquiao vote share?,https://www.predictit.org/markets/detail/7886/What-percentage-of-the-Philippine-presidential-vote-will-Pacquiao-win,2.97,1.19,2.81,1.03,4,3,0.119,0.002,0.117,0.0729999999999999,2022-05-04 20:12:44.097682
Iowa Democratic Senate nominee?,https://www.predictit.org/markets/detail/7845/Who-will-win-the-2022-Iowa-Democratic-Senate-nomination,1.17,1.11,0.8899999999999999,0.8300000000000001,2,1,0.111,0.03,0.081,0.029,2022-05-04 02:38:10.499929
Franklin winner in OH GOP Sen. primary?,https://www.predictit.org/markets/detail/7868/Who-will-win-Franklin-County-in-the-2022-Ohio-Republican-Senate-primary,1.27,1.15,1.85,1.73,3,2,0.115,0.003,0.112,0.0380000000000001,2022-05-03 23:48:46.049926
OH Senate GOP primary winner vote share?,https://www.predictit.org/markets/detail/7863/What-percentage-of-the-popular-vote-will-the-Ohio-GOP-Senate-primary-winner-win,1.4,1.17,8.83,8.6,10,9,0.117,0.003,0.114,0.0559999999999999,2022-05-03 23:36:38.904984
NC Republican Senate nomination winner?,https://www.predictit.org/markets/detail/7163/Who-will-win-the-2022-North-Carolina-Republican-Senate-nomination,1.16,1.12,0.88,0.84,2,1,0.112,0.022,0.09,0.0299999999999999,2022-05-03 20:08:41.985773
Balance of power after 2022 election?,https://www.predictit.org/markets/detail/7172/What-will-be-the-balance-of-power-in-Congress-after-the-2022-election,1.15,1.11,2.89,2.85,4,3,0.111,0.003,0.108,0.0019999999999998,2022-05-03 01:35:35.550039
Cuyahoga winner in OH GOP Sen. primary?,https://www.predictit.org/markets/detail/7862/Who-will-win-Cuyahoga-County-in-the-2022-Ohio-Republican-Senate-primary,1.22,1.11,2.89,2.78,4,3,0.111,0.001,0.11,3.05311331771918e-16,2022-05-03 00:11:57.175852
Turnout in OH GOP Sen. primary?,https://www.predictit.org/markets/detail/7878/How-many-votes-in-the-2022-Ohio-Republican-Senate-primary,1.5,1.11,8.89,8.5,10,9,0.111,0.002,0.109,0.0009999999999994,2022-05-02 21:26:11.967893
OH Senate GOP primary margin?,https://www.predictit.org/markets/detail/7873/What-will-be-the-margin-in-the-Ohio-GOP-Senate-primary,1.44,1.11,10.89,10.56,12,11,0.111,0.003,0.108,0.0019999999999994,2022-05-02 11:19:07.873320
WV-02 Republican nominee?,https://www.predictit.org/markets/detail/7578/Who-will-win-the-Republican-nomination-in-the-WV-02-House-election,1.11,1.0699999999999998,0.93,0.89,2,1,0.107,0.047,0.06,0.0099999999999999,2022-04-30 22:53:07.713910
Biden's 538 approval for May 4?,https://www.predictit.org/markets/detail/7876/What-will-Joe-Biden's-538-job-approval-rating-be-for-May-4,1.23,1.11,7.89,7.77,9,8,0.111,0.001,0.11,3.191891195797325e-16,2022-04-29 17:40:29.071144
Congressional ballot lead for May 4?,https://www.predictit.org/markets/detail/7877/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-May-4,1.52,1.11,7.89,7.48,9,8,0.111,0.001,0.11,3.191891195797325e-16,2022-04-28 17:26:10.533354
Wisconsin GOP gubernatorial nominee?,https://www.predictit.org/markets/detail/7688/Who-will-win-the-2022-Wisconsin-Republican-gubernatorial-nomination,1.28,1.2,2.8,2.72,4,3,0.12,0.001,0.119,0.0810000000000001,2022-04-28 00:25:02.656689
NC-04 Democratic nominee?,https://www.predictit.org/markets/detail/7856/Who-will-win-the-Democratic-nomination-in-the-NC-04-House-election,1.31,1.11,1.89,1.69,3,2,0.111,0.0209999999999999,0.09,0.0199999999999998,2022-04-27 14:45:03.796489
IN-09 Republican nominee?,https://www.predictit.org/markets/detail/7848/Who-will-win-the-Republican-nomination-for-the-IN-09-House-election,1.18,1.1,1.9,1.82,3,2,0.11,0.0099999999999999,0.1,6.938893903907227e-17,2022-04-26 17:39:52.634402
Second place in OH GOP Senate primary?,https://www.predictit.org/markets/detail/7781/Who-will-be-second-in-the-2022-Ohio-Republican-Senate-primary,1.2,1.12,2.88,2.8,4,3,0.112,0.0099999999999999,0.102,0.0180000000000001,2022-04-26 16:39:59.067085
Turnout in French presidential election?,https://www.predictit.org/markets/detail/7858/How-many-votes-for-candidates-in-the-French-presidential-election-second-round,1.62,1.13,6.87,6.38,8,7,0.113,0.001,0.112,0.0179999999999998,2022-04-24 17:31:21.888682
OH-09 Republican nominee?,https://www.predictit.org/markets/detail/7852/Who-will-win-the-Republican-nomination-for-the-OH-09-House-election,2.03,1.14,1.86,0.97,3,2,0.114,0.03,0.084,0.0560000000000001,2022-04-23 02:59:06.696904
French secound round margin?,https://www.predictit.org/markets/detail/7850/What-will-be-the-margin-in-the-French-presidential-election-second-round,1.27,1.12,10.88,10.73,12,11,0.112,0.001,0.111,0.0090000000000009,2022-04-22 19:24:39.919263
Most seats in the Slovenian election?,https://www.predictit.org/markets/detail/7859/Who-will-win-the-most-seats-in-the-2022-Slovenian-parliamentary-election,1.4,1.2999999999999998,0.7,0.6,2,1,0.13,0.036,0.094,0.206,2022-04-21 20:35:21.533150
Congressional ballot lead for April 27?,https://www.predictit.org/markets/detail/7861/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-April-27,2.45,1.14,7.86,6.55,9,8,0.1139999999999999,0.003,0.1109999999999999,0.0289999999999996,2022-04-21 16:46:50.824237
Biden's 538 approval for April 27?,https://www.predictit.org/markets/detail/7860/What-will-Joe-Biden's-538-job-approval-rating-be-for-April-27,1.57,1.14,7.859999999999999,7.43,9,8,0.114,0.005,0.109,0.0310000000000005,2022-04-21 15:50:23.869146
TN-05 Republican nominee?,https://www.predictit.org/markets/detail/7724/Who-will-win-the-Republican-nomination-in-the-TN-05-House-election,1.3,1.15,3.85,3.7,5,4,0.115,0.001,0.114,0.0359999999999999,2022-04-20 22:36:11.327269
Which party will win ME governor's race?,https://www.predictit.org/markets/detail/7394/Which-party-will-win-the-2022-Maine-gubernatorial-election,1.11,1.07,0.93,0.8899999999999999,2,1,0.107,0.039,0.0679999999999999,0.002,2022-04-19 17:00:58.156749
Biden's RCP approval on April 22?,https://www.predictit.org/markets/detail/7849/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-April-22,1.98,1.27,7.729999999999999,0.02,9,8,0.127,0.003,0.124,0.1460000000000004,2022-04-15 15:20:02.875284
Biden's 538 approval for April 20?,https://www.predictit.org/markets/detail/7843/What-will-Joe-Biden's-538-job-approval-rating-be-for-April-20,1.3,1.11,7.89,7.7,9,8,0.111,0.003,0.108,0.0020000000000003,2022-04-14 17:49:07.721892
Congressional ballot lead for April 20?,https://www.predictit.org/markets/detail/7844/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-April-20,0.19,1.39,7.609999999999999,3.81,9,8,0.139,0.001,0.138,0.2520000000000005,2022-04-14 15:24:08.148490
Trump endorsement in OH Senate primary?,https://www.predictit.org/markets/detail/7785/Whom-will-Trump-endorse-in-the-2022-Ohio-Republican-Senate-primary,1.23,1.13,2.87,2.77,4,3,0.1129999999999999,0.0069999999999999,0.106,0.0239999999999998,2022-04-13 15:21:19.801533
Oregon GOP gubernatorial nominee?,https://www.predictit.org/markets/detail/7746/Who-will-win-the-2022-Oregon-Republican-gubernatorial-nomination,1.48,1.15,2.85,2.52,4,3,0.115,0.001,0.114,0.0359999999999999,2022-04-12 20:43:42.443992
Next Latin American leader out?,https://www.predictit.org/markets/detail/7793/Which-of-these-10-Latin-American-leaders-will-leave-office-next,1.63,1.14,7.859999999999999,7.37,9,8,0.114,0.001,0.113,0.0270000000000005,2022-04-10 18:25:46.308836
French first round margin?,https://www.predictit.org/markets/detail/7827/What-will-be-the-margin-in-the-French-presidential-election-first-round,1.6,1.19,3.81,3.4,5,4,0.119,0.006,0.113,0.0769999999999999,2022-04-10 16:34:16.692309
Los Angeles mayoral election winner?,https://www.predictit.org/markets/detail/7534/Who-will-be-elected-Los-Angeles-mayor-in-2022,1.23,1.16,2.84,2.77,4,3,0.1159999999999999,0.001,0.1149999999999999,0.0450000000000001,2022-04-08 14:35:58.911870
Biden's RCP approval on April 8?,https://www.predictit.org/markets/detail/7825/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-April-8,1.31,1.11,4.89,4.69,6,5,0.111,0.001,0.11,3.191891195797325e-16,2022-04-07 11:26:57.403474
GOP Senate seats after midterms?,https://www.predictit.org/markets/detail/7586/How-many-Senate-seats-will-the-GOP-control-after-the-midterms,1.26,1.12,9.88,9.74,11,10,0.112,0.001,0.111,0.0089999999999992,2022-04-07 04:31:10.346826
Biden's 538 approval for April 6?,https://www.predictit.org/markets/detail/7820/What-will-Joe-Biden's-538-job-approval-rating-be-for-April-6,1.31,1.14,3.86,3.69,5,4,0.114,0.001,0.113,0.0270000000000001,2022-04-06 15:23:11.740417
Generic ballot 538 lead for April 6?,https://www.predictit.org/markets/detail/7821/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-April-6,1.51,1.12,4.88,4.49,6,5,0.112,0.003,0.109,0.0110000000000001,2022-04-05 17:57:15.979789
Alaska at-large special winner?,https://www.predictit.org/markets/detail/7806/Who-will-win-the-2022-Alaska-at-large-special-election,1.2,1.12,4.88,4.8,6,5,0.1119999999999999,0.0089999999999999,0.103,0.0170000000000001,2022-04-04 14:44:40.686318
Macron first-round vote share?,https://www.predictit.org/markets/detail/7822/What-percentage-of-the-first-round-popular-vote-will-Macron-win,1.62,1.13,8.87,8.38,10,9,0.113,0.001,0.112,0.0180000000000007,2022-04-03 00:09:01.846031
Generic ballot 538 lead for March 30?,https://www.predictit.org/markets/detail/7810/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-March-30,1.13,1.07,0.93,0.8699999999999999,2,1,0.107,0.042,0.065,0.005,2022-03-30 23:07:50.718651
MO Democratic Senate nomination winner?,https://www.predictit.org/markets/detail/7206/Who-will-win-the-2022-Missouri-Democratic-Senate-nomination,1.34,1.16,0.8400000000000001,0.6599999999999999,2,1,0.116,0.056,0.06,0.0999999999999999,2022-03-30 15:30:51.754673
Fidesz-KDNP seats in Hungarian election?,https://www.predictit.org/markets/detail/7802/How-many-seats-will-Fidesz-KDNP-win-in-the-2022-Hungarian-election,1.76,1.11,8.89,8.24,10,9,0.111,0.003,0.108,0.0019999999999994,2022-03-30 01:26:58.875938
MI-11 Democratic nominee?,https://www.predictit.org/markets/detail/7744/Who-will-win-the-Democratic-nomination-in-the-MI-11-House-election,1.17,1.08,0.92,0.83,2,1,0.108,0.051,0.057,0.023,2022-03-29 16:02:45.618509
Votes for Brainard by Mar. 31?,https://www.predictit.org/markets/detail/7679/How-many-votes-to-confirm-Lael-Brainard-as-Fed-vice-chair-by-March-31,1.39,1.11,6.89,6.609999999999999,8,7,0.111,0.001,0.11,3.05311331771918e-16,2022-03-28 23:33:24.852633
CA-22 special primary leader?,https://www.predictit.org/markets/detail/7796/Who-will-win-the-most-votes-in-the-April-CA-22-House-special-election-primary,2.29,1.13,4.87,3.71,6,5,0.113,0.005,0.108,0.0219999999999998,2022-03-26 06:13:50.750600
Biden's RCP approval on April 1?,https://www.predictit.org/markets/detail/7812/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-April-1,0.8,1.19,7.81,3.2,9,8,0.119,0.002,0.117,0.0730000000000003,2022-03-25 15:26:51.384190
Biden's 538 approval for March 30?,https://www.predictit.org/markets/detail/7809/What-will-Joe-Biden's-538-job-approval-rating-be-for-March-30,1.22,1.11,7.89,7.78,9,8,0.111,0.006,0.105,0.0050000000000003,2022-03-25 10:55:15.908825
Michigan GOP gubernatorial nominee?,https://www.predictit.org/markets/detail/7667/Who-will-win-the-2022-Michigan-Republican-gubernatorial-nomination,1.99,1.22,4.78,4.01,6,5,0.122,0.001,0.121,0.0989999999999997,2022-03-21 18:09:03.155001
GA-10 Republican nominee?,https://www.predictit.org/markets/detail/7743/Who-will-win-the-Republican-nomination-in-the-GA-10-House-election,1.45,1.23,1.77,1.55,3,2,0.123,0.03,0.093,0.1369999999999999,2022-03-20 23:14:44.682817
Which Trump endorsee does the worst?,https://www.predictit.org/markets/detail/7792/Which-of-these-Trump-candidates-gets-the-lowest-vote-share-in-May-primaries,2.46,1.11,4.89,3.54,6,5,0.111,0.003,0.108,0.0020000000000003,2022-03-19 04:46:27.342598
Biden's RCP approval on March 25?,https://www.predictit.org/markets/detail/7800/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-March-25,1.46,1.16,7.84,7.54,9,8,0.116,0.0069999999999999,0.109,0.0510000000000001,2022-03-18 20:25:53.921181
Maryland Dem nominee for governor?,https://www.predictit.org/markets/detail/7599/Who-will-win-the-2022-Maryland-Democratic-gubernatorial-nomination,1.25,1.14,3.86,3.75,5,4,0.114,0.003,0.111,0.0290000000000001,2022-03-18 18:08:13.420091
Number of judges confirmed by April 8?,https://www.predictit.org/markets/detail/7753/How-many-federal-judges-will-be-confirmed-by-April-8,1.53,1.37,3.63,3.47,5,4,0.137,0.005,0.132,0.2380000000000001,2022-03-17 20:24:20.715630
Biden's 538 approval for March 23?,https://www.predictit.org/markets/detail/7797/What-will-Joe-Biden's-538-job-approval-rating-be-for-March-23,1.54,1.11,7.89,7.46,9,8,0.111,0.005,0.106,0.0040000000000003,2022-03-17 16:02:33.484796
Biden's RCP approval on March 18?,https://www.predictit.org/markets/detail/7787/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-March-18,1.25,1.11,6.89,6.75,8,7,0.111,0.001,0.11,3.05311331771918e-16,2022-03-15 21:46:20.835786
Senate Yeas for Omnibus by March 11?,https://www.predictit.org/markets/detail/7778/How-many-votes-in-the-Senate-for-an-omnibus-budget-by-March-11,1.3,1.09,0.91,0.7,2,1,0.109,0.049,0.06,0.0299999999999999,2022-03-11 03:13:11.762100
TX-28 Democratic nominee?,https://www.predictit.org/markets/detail/7660/Who-will-win-the-Democratic-nomination-in-the-TX-28-House-election,1.09,1.06,0.94,0.91,2,1,0.106,0.05,0.056,0.004,2022-03-11 00:05:40.334405
Biden's 538 approval for March 16?,https://www.predictit.org/markets/detail/7783/What-will-Joe-Biden's-538-job-approval-rating-be-for-March-16,0.5,1.15,7.85,0.5,9,8,0.115,0.001,0.114,0.0360000000000003,2022-03-10 16:41:46.546066
Generic ballot 538 leader for March 9?,https://www.predictit.org/markets/detail/7773/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-March-9,1.23,1.11,4.89,4.77,6,5,0.111,0.001,0.11,3.05311331771918e-16,2022-03-09 06:15:16.531236
Colombian presidential winner in 2022?,https://www.predictit.org/markets/detail/7371/Who-will-be-elected-president-of-Colombia-in-2022,1.47,1.11,5.89,5.53,7,6,0.111,0.001,0.11,3.05311331771918e-16,2022-03-09 04:06:02.108604
GA-07 Democratic nominee?,https://www.predictit.org/markets/detail/7611/Who-will-be-the-Democratic-nominee-in-the-GA-07-House-election,1.25,1.2,0.8,0.75,2,1,0.12,0.025,0.095,0.1049999999999999,2022-03-05 22:02:05.555034
Biden's RCP approval on March 11?,https://www.predictit.org/markets/detail/7777/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-March-11,1.27,1.11,7.89,7.729999999999999,9,8,0.111,0.001,0.11,3.05311331771918e-16,2022-03-04 19:52:31.641451
Biden's 538 approval for March 9?,https://www.predictit.org/markets/detail/7772/What-will-Joe-Biden's-538-job-approval-rating-be-for-March-9,2.04,1.19,7.81,6.96,9,8,0.119,0.006,0.1129999999999999,0.0769999999999995,2022-03-03 16:31:34.790235
TX-15 Democratic nominee?,https://www.predictit.org/markets/detail/7713/Who-will-win-the-Democratic-nomination-in-the-TX-15-House-election,1.62,1.33,1.67,1.38,3,2,0.133,0.025,0.108,0.222,2022-03-02 07:21:53.793178
Russia/Putin SOTU mentions?,https://www.predictit.org/markets/detail/7742/How-many-times-will-Biden-say-Russia-or-Putin-in-the-State-of-the-Union,1.23,1.11,7.89,7.77,9,8,0.111,0.001,0.11,3.191891195797325e-16,2022-03-01 23:41:07.353680
UNGA votes against Russia?,https://www.predictit.org/markets/detail/7764/How-many-countries-vote-to-condemn-Russia-in-the-UN-General-Assembly-by-3-11,3.14,1.18,8.82,6.86,10,9,0.118,0.002,0.116,0.0639999999999997,2022-02-28 20:36:07.538637
TX-28 Dem primary margin of victory?,https://www.predictit.org/markets/detail/7755/What-will-be-the-margin-in-the-TX-28-Democratic-primary,1.29,1.13,8.870000000000001,8.71,10,9,0.1129999999999999,0.0079999999999999,0.105,0.024999999999999,2022-02-27 15:57:21.417987
Biden's RCP approval on March 4?,https://www.predictit.org/markets/detail/7761/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-March-4,1.35,1.13,7.87,7.65,9,8,0.113,0.003,0.11,0.0199999999999998,2022-02-25 22:00:46.270067
Generic ballot 538 leader for March 2?,https://www.predictit.org/markets/detail/7759/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-March-2,1.39,1.11,7.89,7.61,9,8,0.111,0.001,0.11,3.191891195797325e-16,2022-02-25 20:56:12.739392
Votes for SCOTUS nominee by July 1?,https://www.predictit.org/markets/detail/7722/How-many-votes-to-confirm-a-SCOTUS-nominee-by-July-1,1.28,1.11,7.890000000000001,7.72,9,8,0.1109999999999999,0.005,0.1059999999999999,0.0039999999999994,2022-02-25 14:13:58.606895
Biden's 538 approval for March 2?,https://www.predictit.org/markets/detail/7758/What-will-Joe-Biden's-538-job-approval-rating-be-for-March-2,1.25,1.11,7.890000000000001,7.75,9,8,0.1109999999999999,0.006,0.1049999999999999,0.0049999999999994,2022-02-25 03:23:43.997985
Biden's RCP approval on Feb. 25?,https://www.predictit.org/markets/detail/7751/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-Feb-25,1.3,1.11,6.89,6.7,8,7,0.111,0.001,0.11,3.05311331771918e-16,2022-02-23 15:19:25.812462
New York GOP gubernatorial nominee?,https://www.predictit.org/markets/detail/7307/Who-will-win-the-2022-New-York-Republican-gubernatorial-nomination,1.19,1.12,3.88,3.81,5,4,0.112,0.001,0.111,0.009,2022-02-22 14:19:52.388463
Biden's 538 approval for Feb. 23?,https://www.predictit.org/markets/detail/7747/What-will-Joe-Biden's-538-job-approval-rating-be-for-Feb-23,1.21,1.11,6.89,6.79,8,7,0.111,0.001,0.11,3.191891195797325e-16,2022-02-21 16:50:15.549085
Biden's RCP approval on Feb. 18?,https://www.predictit.org/markets/detail/7740/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-Feb-18,1.24,1.11,6.89,6.76,8,7,0.111,0.001,0.11,3.05311331771918e-16,2022-02-17 03:41:00.365508
Generic ballot 538 leader for Feb. 16?,https://www.predictit.org/markets/detail/7739/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-Feb-16,1.33,1.16,3.84,3.67,5,4,0.116,0.001,0.115,0.0450000000000001,2022-02-15 18:22:19.777499
SC-01 Republican nominee?,https://www.predictit.org/markets/detail/7741/Who-will-win-the-Republican-nomination-in-the-SC-01-House-election,1.4,1.37,0.63,0.6,2,1,0.1369999999999999,0.0679999999999999,0.0689999999999999,0.301,2022-02-15 01:11:56.176910
Biden's 538 approval for Feb. 16?,https://www.predictit.org/markets/detail/7738/What-will-Joe-Biden's-538-job-approval-rating-be-for-Feb-16,1.59,1.11,7.890000000000001,7.41,9,8,0.1109999999999999,0.002,0.1089999999999999,0.0009999999999994,2022-02-10 17:05:36.131410
Biden's 538 approval for Feb. 9?,https://www.predictit.org/markets/detail/7727/What-will-Joe-Biden's-538-job-approval-rating-be-for-Feb-9,1.27,1.11,7.89,7.73,9,8,0.111,0.004,0.107,0.0030000000000003,2022-02-03 21:50:48.320350
Generic ballot 538 leader for Feb. 2?,https://www.predictit.org/markets/detail/7717/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-Feb-2,1.48,1.11,6.89,6.52,8,7,0.111,0.001,0.11,3.05311331771918e-16,2022-02-01 10:37:07.160951
Biden's RCP approval on Feb. 4?,https://www.predictit.org/markets/detail/7723/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-Feb-4,1.37,1.23,7.77,7.63,9,8,0.123,0.004,0.119,0.1110000000000004,2022-01-30 17:59:54.897054
Socialist seats in Portuguese election?,https://www.predictit.org/markets/detail/7587/How-many-seats-will-the-Socialist-Party-win-in-the-2022-Portuguese-election,1.33,1.11,5.89,5.67,7,6,0.111,0.001,0.11,3.191891195797325e-16,2022-01-30 17:37:48.811530
Which party will win NV governor's race?,https://www.predictit.org/markets/detail/7391/Which-party-will-win-the-2022-Nevada-gubernatorial-election,1.1,1.07,0.93,0.9,2,1,0.107,0.046,0.061,0.0089999999999999,2022-01-28 08:12:38.693373
Biden's 538 approval for Feb. 2?,https://www.predictit.org/markets/detail/7721/What-will-Joe-Biden's-538-job-approval-rating-be-for-Feb-2,1.25,1.11,7.89,7.75,9,8,0.111,0.005,0.106,0.0040000000000003,2022-01-27 20:06:11.194158
Next SCOTUS nominee?,https://www.predictit.org/markets/detail/7718/Who-will-be-the-next-Supreme-Court-nominee,1.24,1.12,7.88,7.76,9,8,0.112,0.001,0.111,0.009,2022-01-27 01:13:04.788610
Biden's RCP approval on Jan. 28?,https://www.predictit.org/markets/detail/7712/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-Jan-28,1.31,1.11,7.89,7.69,9,8,0.111,0.003,0.108,0.0020000000000003,2022-01-25 13:51:21.477520
Biden's 538 approval for Jan. 26?,https://www.predictit.org/markets/detail/7709/What-will-Joe-Biden's-538-job-approval-rating-be-for-Jan-26,1.66,1.15,7.85,7.34,9,8,0.1149999999999999,0.002,0.1129999999999999,0.0370000000000003,2022-01-20 17:13:36.799168
